femaleCount = 170
maleCount = 359

f0 = {Ala}, {Ала}
m109 = {Gurd}, {Гурд}
m110 = {Haf}, {Хаф}
m111 = {Hafgrim}, {Хафгрим}
m112 = {Hak}, {Хак}
m113 = {Haki}, {Хаки}
m114 = {Hakolbe}, {Хаколбе}
m115 = {Hakon}, {Хакон}
m116 = {Hald}, {Хальд}
m117 = {Haldgei}, {Хальдги}
m118 = {Haldolv}, {Хальдольв}
m119 = {Half}, {Хальф}
m120 = {Halfdan}, {Хальфдан}
m121 = {Hall}, {Халл}
m122 = {Halldol}, {Халлдол}
m123 = {Halldor}, {Халлдор}
m124 = {Hallf}, {Халльф}
m125 = {Hallfred}, {Халльфред}
m126 = {Hallugi}, {Халлюги}
m127 = {Har}, {Хар}
m128 = {Harald}, {Харальд}
m129 = {Hard}, {Хард}
m130 = {Harek}, {Харек}
m131 = {Harim}, {Харим}
m132 = {Harm}, {Харм}
m133 = {Harnor}, {Харнор}
m134 = {Haslend}, {Хасленд}
m135 = {Hastein}, {Хастейн}
m136 = {Hastolf}, {Хастольф}
m137 = {Hauk}, {Хаук}
m138 = {Havagni}, {Хавагни}
m139 = {Havard}, {Хавард}
m140 = {Havari}, {Хавари}
m141 = {Hedi}, {Хеди}
m142 = {Hedin}, {Хедин}
m143 = {Hel}, {Хель}
m144 = {Heldolv}, {Хельдольв}
m145 = {Helgi}, {Хельгри}
m146 = {Herjolf}, {Херьольф}
m147 = {Herlaug}, {Херлауг}
m148 = {Hermodv}, {Хермодф}
m149 = {Herstei}, {Херстейн}
m150 = {Hjalti}, {Хьяльти}
m151 = {Hogni}, {Хогни}
m152 = {Horand}, {Хоранд}
m153 = {Horbral}, {Хорбраль}
m154 = {Hord}, {Хорд}
m155 = {Horrik}, {Хоррик}
m156 = {Hrad}, {Храд}
m157 = {Hrafgei}, {Храфги}
m158 = {Hrafn}, {Храфн}
m159 = {Hrani}, {Храни}
m160 = {Hridgri}, {Хридгри}
m161 = {Hridi}, {Хриди}
m162 = {Hring}, {Хринг}
m163 = {Hroald}, {Хроальд}
m164 = {Hrognva}, {Хрогнва}
m165 = {Hrut}, {Хрут}
m166 = {Illugi}, {Иллуги}
m167 = {Ingi}, {Инги}
m168 = {Ingilld}, {Ингилльд}
m169 = {Ingjald}, {Ингьяльд}
m170 = {Ingjar}, {Ингьяр}
m171 = {Ingolf}, {Ингольф}
m172 = {Innbjor}, {Иннбьор}
m173 = {Innborf}, {Иннборф}
m174 = {Islafge}, {Ислафге}
m175 = {Isleif}, {Ислейф}
m176 = {Ivalf}, {Ивальф}
m177 = {Ivar}, {Ивар}
m178 = {Ivarek}, {Иварек}
m179 = {Kad}, {Кад}
m180 = {Kald}, {Кальд}
m181 = {Kalf}, {Кальф}
m182 = {Kapti}, {Капти}
m183 = {Kar}, {Кар}
m184 = {Kard}, {Кард}
m185 = {Kari}, {Кари}
m186 = {Karir}, {Карир}
m187 = {Karlidi}, {Карлиди}
m188 = {Karlsefni}, {Карлсефни}
m189 = {Keldord}, {Кельдорд}
m190 = {Ketil}, {Кетил}
m191 = {Ketilse}, {Кетилс}
m192 = {Knunolf}, {Кнунольф}
m193 = {Knut}, {Кнут}
m194 = {Kol}, {Коль}
m195 = {Kolbein}, {Кольбейн}
m196 = {Kon}, {Кон}
m197 = {Konund}, {Конунд}
m198 = {Lambi}, {Ламби}
m199 = {Leif}, {Лейф}
m200 = {Ljod}, {Льод}
m201 = {Ljorges}, {Льоргес}
m202 = {Ljot}, {Льот}
m203 = {Ljotolf}, {Льотольф}
m204 = {Lod}, {Лод}
m205 = {Lodd}, {Лодд}
m206 = {Lodin}, {Лодин}
m207 = {Mod}, {Мод}
m208 = {Mord}, {Морд}
m209 = {Morfing}, {Морфинг}
m210 = {Morn}, {Морн}
m211 = {Odd}, {Одд}
m212 = {Odorgra}, {Одоргра}
m213 = {Ofeig}, {Офейг}
m214 = {Ofeir}, {Офейр}
m215 = {Ofeirm}, {Офейрм}
m216 = {Ogils}, {Огильс}
m217 = {Ogmund}, {Огмунд}
m218 = {Olaf}, {Олаф}
m219 = {Olf}, {Олф}
m220 = {Olvigmu}, {Олвигмю}
m221 = {Olvir}, {Олвир}
m222 = {Onund}, {Онунд}
m223 = {Orgeind}, {Оргейнд}
m224 = {Orgrik}, {Оргрик}
m225 = {Orm}, {Орм}
m226 = {Orvani}, {Орвани}
m227 = {Otkel}, {Откель}
m228 = {Otkelgi}, {Откельги}
m229 = {Otostei}, {Отостей}
m230 = {Otrygg}, {Отригг}
m231 = {Ottar}, {Оттар}
m232 = {Ottarka}, {Оттарка}
m233 = {Ozur}, {Озур}
m234 = {Ragnar}, {Рагнар}
m235 = {Raingol}, {Райнгол}
m236 = {Ran}, {Ран}
m237 = {Rand}, {Ранд}
m238 = {Roalf}, {Роальф}
m239 = {Rogilld}, {Рогилльд}
m240 = {Rognvald}, {Рогнвальд}
m241 = {Rund}, {Рунд}
m242 = {Runnbjo}, {Руннбьё}
m243 = {Runolf}, {Рунольф}
m244 = {Rut}, {Рут}
m245 = {Sam}, {Сэм}
m246 = {Samund}, {Сэмунд}
m247 = {Samunna}, {Сэмунна}
m248 = {Sig}, {Сиг}
m249 = {Sigfus}, {Сигфус}
m250 = {Sighvan}, {Сигхван}
m251 = {Sighvat}, {Сигхват}
m252 = {Sigmund}, {Сигмунд}
m253 = {Sigtryg}, {Сигтрюг}
m254 = {Sigtrygg}, {Сигтрюгг}
m255 = {Sigulf}, {Сигульф}
m256 = {Sigund}, {Сигунд}
m257 = {Sigunn}, {Сигунн}
m258 = {Sigurd}, {Сигурд}
m259 = {Sigwulf}, {Сигвульф}
m260 = {Skapti}, {Скапти}
m261 = {Skard}, {Скард}
m262 = {Skarlen}, {Скарлен}
m263 = {Snorri}, {Снорри}
m264 = {Solaugi}, {Солауги}
m265 = {Solf}, {Сольф}
m266 = {Solmund}, {Солмунд}
m267 = {Solvi}, {Сольви}
m268 = {Starkad}, {Старкад}
m269 = {Starlak}, {Старлак}
m270 = {Stein}, {Стейн}
m271 = {Steinkel}, {Стейнкель}
m272 = {Steinn}, {Стейнн}
m273 = {Steinth}, {Стейнт}
m274 = {Steinthor}, {Стейнтор}
m275 = {Steirmu}, {Стейрмю}
m276 = {Steirst}, {Стейрст}
m277 = {Sti}, {Сти}
m278 = {Stillfg}, {Стилльфг}
m279 = {Stolvir}, {Стольвир}
m280 = {Stostyr}, {Стостир}
m281 = {Stur}, {Стур}
m282 = {Sturla}, {Стурла}
m283 = {Styrk}, {Стюрк}
m284 = {Styrkar}, {Стюркар}
m285 = {Styrkel}, {Стюркель}
m286 = {Sum}, {Сум}
m287 = {Sumar}, {Сумар}
m288 = {Sumarlidi}, {Сумарлиди}
m289 = {Svein}, {Свейн}
m290 = {Sverlid}, {Сверлид}
m291 = {Sverst}, {Сверст}
m292 = {Svestei}, {Свестей}
m293 = {Thjodolf}, {Тьодольф}
m294 = {Thjostolf}, {Тьостольф}
m295 = {Thogni}, {Тогни}
m296 = {Thor}, {Тор}
m297 = {Thorand}, {Торанд}
m298 = {Thorarin}, {Торарин}
m299 = {Thorbjo}, {Торбьё}
m300 = {Thorbjorn}, {Торбьёрн}
m301 = {Thorbra}, {Торбра}
m302 = {Thorbrand}, {Торбранд}
m303 = {Thord}, {Торд}
m304 = {Thordin}, {Тордин}
m305 = {Thorfin}, {Торфин}
m306 = {Thorfinn}, {Торфинн}
m307 = {Thorgei}, {Торгей}
m308 = {Thorgeir}, {Торгейр}
m309 = {Thorgest}, {Торгест}
m310 = {Thorgi}, {Торги}
m311 = {Thorgils}, {Торгильс}
m312 = {Thorgri}, {Торгри}
m313 = {Thorgrim}, {Торгрим}
m314 = {Thorhal}, {Торхаль}
m315 = {Thorhall}, {Торхалл}
m316 = {Thorim}, {Торим}
m317 = {Thorir}, {Торир}
m318 = {Thorkap}, {Торкап}
m319 = {Thorkel}, {Торкель}
m320 = {Thorket}, {Торкет}
m321 = {Thormod}, {Тормод}
m322 = {Thorn}, {Торн}
m323 = {Thorri}, {Торри}
m324 = {Thorste}, {Торсте}
m325 = {Thorstein}, {Торстейн}
m326 = {Thorvald}, {Торвальд}
m327 = {Thorvar}, {Торвар}
m328 = {Thrad}, {Трад}
m329 = {Thragna}, {Трагна}
m330 = {Thrain}, {Трайн}
m331 = {Thrand}, {Транд}
m332 = {Thridgr}, {Тридгер}
m333 = {Throalf}, {Троальф}
m334 = {Tolf}, {Тольф}
m335 = {Tolfrik}, {Тольфрик}
m336 = {Tosti}, {Тости}
m337 = {Ulf}, {Ульф}
m338 = {Uni}, {Уни}
m339 = {Vagn}, {Вагн}
m340 = {Valf}, {Вальф}
m341 = {Valgard}, {Вальгард}
m342 = {Valgi}, {Вальги}
m343 = {Vallf}, {Валльф}
m344 = {Vandrad}, {Вандрад}
m345 = {Varmori}, {Вармори}
m346 = {Varnlam}, {Варнлам}
m347 = {Veintho}, {Вейнтхо}
m348 = {Verlein}, {Верлейн}
m349 = {Vermund}, {Вермунд}
m350 = {Vestard}, {Вестард}
m351 = {Vestein}, {Вестейн}
m352 = {Vestost}, {Вестост}
m353 = {Vigfus}, {Вигфус}
m354 = {Vigudmu}, {Вигудмю}
m355 = {Vin}, {Вин}
m356 = {Yng}, {Инг}
m357 = {Yngvald}, {Ингвальд}
m358 = {Yngvar}, {Ингвар}
